0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
698,390,22.0,,,,,,,,,,,,,,,,,,,,,,,
1008,390,22.0,,,,,,,,,,,,,,,,,,,,,,,
422,522,554.0,275.0,22.0,,,,,,,,,,,,,,,,,,,,,
598,22,,,,,,,,,,,,,,,,,,,,,,,,
390,616,268.0,699.0,22.0,439.0,698.0,123.0,701.0,766.0,,,,,,,,,,,,,,,,
390,22,,,,,,,,,,,,,,,,,,,,,,,,
2489,2219,,,,,,,,,,,,,,,,,,,,,,,,
2242,738,3080.0,441.0,2221.0,2745.0,31.0,,,,,,,,,,,,,,,,,,,
2745,2221,,,,,,,,,,,,,,,,,,,,,,,,
53,23,,,,,,,,,,,,,,,,,,,,,,,,
23,855,,,,,,,,,,,,,,,,,,,,,,,,
24,297,471.0,,,,,,,,,,,,,,,,,,,,,,,
769,903,263.0,905.0,266.0,460.0,24.0,,,,,,,,,,,,,,,,,,,
24,378,,,,,,,,,,,,,,,,,,,,,,,,
99,164,518.0,423.0,552.0,588.0,24.0,,,,,,,,,,,,,,,,,,,
1707,1063,,,,,,,,,,,,,,,,,,,,,,,,
2222,2566,,,,,,,,,,,,,,,,,,,,,,,,
1764,1064,1900.0,1230.0,795.0,1918.0,1727.0,,,,,,,,,,,,,,,,,,,
296,265,461.0,338.0,276.0,372.0,505.0,25.0,,,,,,,,,,,,,,,,,,
888,25,,,,,,,,,,,,,,,,,,,,,,,,
296,265,561.0,338.0,276.0,372.0,537.0,25.0,,,,,,,,,,,,,,,,,,
25,291,,,,,,,,,,,,,,,,,,,,,,,,
265,461,338.0,276.0,372.0,25.0,,,,,,,,,,,,,,,,,,,,
2224,2558,3022.0,,,,,,,,,,,,,,,,,,,,,,,
27,940,,,,,,,,,,,,,,,,,,,,,,,,
1065,2027,,,,,,,,,,,,,,,,,,,,,,,,
1568,739,1226.0,1068.0,592.0,,,,,,,,,,,,,,,,,,,,,
32,1568,739.0,615.0,392.0,1226.0,1068.0,685.0,,,,,,,,,,,,,,,,,,
2232,3033,3202.0,,,,,,,,,,,,,,,,,,,,,,,
2232,3057,3202.0,2540.0,,,,,,,,,,,,,,,,,,,,,,
2232,2322,3202.0,,,,,,,,,,,,,,,,,,,,,,,
2233,2591,,,,,,,,,,,,,,,,,,,,,,,,
2233,339,,,,,,,,,,,,,,,,,,,,,,,,
1733,1071,,,,,,,,,,,,,,,,,,,,,,,,
28,748,422.0,,,,,,,,,,,,,,,,,,,,,,,
67,422,999.0,390.0,998.0,522.0,714.0,748.0,28.0,275.0,184.0,699.0,956.0,,,,,,,,,,,,,
67,422,999.0,998.0,522.0,714.0,748.0,275.0,699.0,28.0,,,,,,,,,,,,,,,,
291,422,999.0,390.0,998.0,522.0,554.0,714.0,748.0,48.0,275.0,184.0,442.0,699.0,28.0,,,,,,,,,,,
469,956,28.0,422.0,,,,,,,,,,,,,,,,,,,,,,
422,999,714.0,522.0,748.0,275.0,699.0,28.0,,,,,,,,,,,,,,,,,,
2236,1431,,,,,,,,,,,,,,,,,,,,,,,,
2148,780,30.0,,,,,,,,,,,,,,,,,,,,,,,
1788,780,30.0,,,,,,,,,,,,,,,,,,,,,,,
1766,646,1740.0,780.0,179.0,30.0,31.0,,,,,,,,,,,,,,,,,,,
646,1383,780.0,1649.0,179.0,567.0,30.0,,,,,,,,,,,,,,,,,,,
2066,780,1165.0,30.0,,,,,,,,,,,,,,,,,,,,,,
1664,1895,780.0,179.0,30.0,,,,,,,,,,,,,,,,,,,,,
1374,1989,646.0,780.0,1979.0,30.0,,,,,,,,,,,,,,,,,,,,
1073,179,1220.0,471.0,,,,,,,,,,,,,,,,,,,,,,
793,29,,,,,,,,,,,,,,,,,,,,,,,,
792,793,29.0,,,,,,,,,,,,,,,,,,,,,,,
793,1708,29.0,,,,,,,,,,,,,,,,,,,,,,,
792,793,29.0,,,,,,,,,,,,,,,,,,,,,,,
31,471,,,,,,,,,,,,,,,,,,,,,,,,
266,179,31.0,,,,,,,,,,,,,,,,,,,,,,,
218,876,31.0,1863.0,,,,,,,,,,,,,,,,,,,,,,
1357,31,,,,,,,,,,,,,,,,,,,,,,,,
31,471,,,,,,,,,,,,,,,,,,,,,,,,
179,31,,,,,,,,,,,,,,,,,,,,,,,,
1667,31,,,,,,,,,,,,,,,,,,,,,,,,
31,295,,,,,,,,,,,,,,,,,,,,,,,,
2082,2083,31.0,,,,,,,,,,,,,,,,,,,,,,,
1075,1387,1220.0,471.0,,,,,,,,,,,,,,,,,,,,,,
1613,1078,,,,,,,,,,,,,,,,,,,,,,,,
1078,1599,,,,,,,,,,,,,,,,,,,,,,,,
32,768,685.0,2081.0,,,,,,,,,,,,,,,,,,,,,,
32,769,2494.0,2278.0,905.0,2669.0,1678.0,685.0,1876.0,887.0,1469.0,2686.0,,,,,,,,,,,,,,
32,769,905.0,685.0,1876.0,887.0,2686.0,,,,,,,,,,,,,,,,,,,
390,905,522.0,275.0,285.0,32.0,34.0,547.0,685.0,439.0,184.0,698.0,699.0,700.0,58.0,571.0,572.0,574.0,459.0,85.0,469.0,471.0,482.0,364.0,748.0,887.0
2076,1079,,,,,,,,,,,,,,,,,,,,,,,,
1079,3262,1823.0,,,,,,,,,,,,,,,,,,,,,,,
3262,1079,,,,,,,,,,,,,,,,,,,,,,,,
1080,1657,1583.0,,,,,,,,,,,,,,,,,,,,,,,
1314,1731,1736.0,1359.0,1080.0,1657.0,,,,,,,,,,,,,,,,,,,,
1081,1866,,,,,,,,,,,,,,,,,,,,,,,,
1081,1599,,,,,,,,,,,,,,,,,,,,,,,,
2243,2324,3175.0,,,,,,,,,,,,,,,,,,,,,,,
2243,2324,2507.0,3175.0,,,,,,,,,,,,,,,,,,,,,,
1912,1083,1373.0,,,,,,,,,,,,,,,,,,,,,,,
1083,1180,,,,,,,,,,,,,,,,,,,,,,,,
34,58,390.0,105.0,842.0,717.0,303.0,688.0,698.0,987.0,572.0,,,,,,,,,,,,,,,
34,699,700.0,85.0,,,,,,,,,,,,,,,,,,,,,,
34,1586,1197.0,,,,,,,,,,,,,,,,,,,,,,,
34,547,390.0,459.0,689.0,179.0,152.0,572.0,,,,,,,,,,,,,,,,,,
34,556,573.0,,,,,,,,,,,,,,,,,,,,,,,
2245,3125,,,,,,,,,,,,,,,,,,,,,,,,
2245,3125,,,,,,,,,,,,,,,,,,,,,,,,
2245,3125,,,,,,,,,,,,,,,,,,,,,,,,
1086,1479,,,,,,,,,,,,,,,,,,,,,,,,
35,892,,,,,,,,,,,,,,,,,,,,,,,,
1392,57,1090.0,,,,,,,,,,,,,,,,,,,,,,,
3035,2246,,,,,,,,,,,,,,,,,,,,,,,,
1626,1092,1772.0,,,,,,,,,,,,,,,,,,,,,,,
1724,37,278.0,,,,,,,,,,,,,,,,,,,,,,,
130,37,390.0,523.0,278.0,,,,,,,,,,,,,,,,,,,,,
2858,37,278.0,,,,,,,,,,,,,,,,,,,,,,,
37,517,272.0,278.0,123.0,699.0,574.0,,,,,,,,,,,,,,,,,,,
37,390,373.0,374.0,439.0,278.0,445.0,,,,,,,,,,,,,,,,,,,
37,876,1677.0,79.0,278.0,218.0,,,,,,,,,,,,,,,,,,,,
1977,1093,1637.0,,,,,,,,,,,,,,,,,,,,,,,
2248,3195,2733.0,,,,,,,,,,,,,,,,,,,,,,,
1108,1094,,,,,,,,,,,,,,,,,,,,,,,,
1108,1094,,,,,,,,,,,,,,,,,,,,,,,,
644,39,488.0,298.0,886.0,919.0,,,,,,,,,,,,,,,,,,,,
416,418,230.0,40.0,144.0,822.0,,,,,,,,,,,,,,,,,,,,
40,230,,,,,,,,,,,,,,,,,,,,,,,,
40,230,,,,,,,,,,,,,,,,,,,,,,,,
40,410,230.0,631.0,,,,,,,,,,,,,,,,,,,,,,
40,230,,,,,,,,,,,,,,,,,,,,,,,,
230,40,620.0,623.0,624.0,,,,,,,,,,,,,,,,,,,,,
40,624,230.0,,,,,,,,,,,,,,,,,,,,,,,
1096,2052,1709.0,,,,,,,,,,,,,,,,,,,,,,,
1098,323,,,,,,,,,,,,,,,,,,,,,,,,
416,41,300.0,822.0,281.0,,,,,,,,,,,,,,,,,,,,,
2105,1100,,,,,,,,,,,,,,,,,,,,,,,,
1528,441,1100.0,2105.0,,,,,,,,,,,,,,,,,,,,,,
1972,1101,,,,,,,,,,,,,,,,,,,,,,,,
1102,1959,,,,,,,,,,,,,,,,,,,,,,,,
1673,354,1102.0,1959.0,,,,,,,,,,,,,,,,,,,,,,
868,44,,,,,,,,,,,,,,,,,,,,,,,,
1103,1143,,,,,,,,,,,,,,,,,,,,,,,,
45,734,855.0,,,,,,,,,,,,,,,,,,,,,,,
704,996,45.0,734.0,,,,,,,,,,,,,,,,,,,,,,
2736,2258,2590.0,,,,,,,,,,,,,,,,,,,,,,,
1106,1860,,,,,,,,,,,,,,,,,,,,,,,,
1560,1273,1106.0,,,,,,,,,,,,,,,,,,,,,,,
2833,2259,2724.0,3078.0,,,,,,,,,,,,,,,,,,,,,,
1107,1174,,,,,,,,,,,,,,,,,,,,,,,,
1107,1174,,,,,,,,,,,,,,,,,,,,,,,,
2955,1812,2957.0,2263.0,,,,,,,,,,,,,,,,,,,,,,
2957,2263,,,,,,,,,,,,,,,,,,,,,,,,
2264,3171,2491.0,,,,,,,,,,,,,,,,,,,,,,,
2265,2762,,,,,,,,,,,,,,,,,,,,,,,,
293,872,396.0,397.0,47.0,447.0,,,,,,,,,,,,,,,,,,,,
293,872,396.0,397.0,47.0,447.0,,,,,,,,,,,,,,,,,,,,
218,876,1114.0,2084.0,,,,,,,,,,,,,,,,,,,,,,
483,772,69.0,390.0,747.0,364.0,1004.0,976.0,977.0,51.0,439.0,,,,,,,,,,,,,,,
291,355,773.0,69.0,390.0,745.0,747.0,51.0,285.0,,,,,,,,,,,,,,,,,
745,302,51.0,179.0,437.0,439.0,,,,,,,,,,,,,,,,,,,,
51,291,364.0,390.0,,,,,,,,,,,,,,,,,,,,,,
482,483,390.0,616.0,747.0,364.0,1004.0,1005.0,51.0,439.0,698.0,318.0,,,,,,,,,,,,,,
291,772,69.0,390.0,483.0,805.0,745.0,747.0,364.0,1004.0,272.0,976.0,977.0,51.0,437.0,439.0,408.0,699.0,,,,,,,,
608,483,390.0,332.0,51.0,87.0,439.0,318.0,,,,,,,,,,,,,,,,,,
53,309,,,,,,,,,,,,,,,,,,,,,,,,
2664,2274,1222.0,1799.0,,,,,,,,,,,,,,,,,,,,,,
1120,1818,1206.0,,,,,,,,,,,,,,,,,,,,,,,
1120,1818,1206.0,,,,,,,,,,,,,,,,,,,,,,,
1120,1206,1606.0,,,,,,,,,,,,,,,,,,,,,,,
1120,1206,,,,,,,,,,,,,,,,,,,,,,,,
1120,1560,1256.0,1206.0,,,,,,,,,,,,,,,,,,,,,,
362,972,524.0,55.0,,,,,,,,,,,,,,,,,,,,,,
56,1512,,,,,,,,,,,,,,,,,,,,,,,,
57,290,641.0,,,,,,,,,,,,,,,,,,,,,,,
57,2034,,,,,,,,,,,,,,,,,,,,,,,,
58,364,439.0,,,,,,,,,,,,,,,,,,,,,,,
2843,2276,86.0,,,,,,,,,,,,,,,,,,,,,,,
422,469,184.0,443.0,60.0,,,,,,,,,,,,,,,,,,,,,
2278,2494,1678.0,,,,,,,,,,,,,,,,,,,,,,,
2278,2494,1678.0,,,,,,,,,,,,,,,,,,,,,,,
905,2494,2278.0,,,,,,,,,,,,,,,,,,,,,,,
61,943,,,,,,,,,,,,,,,,,,,,,,,,
673,801,390.0,905.0,297.0,1004.0,754.0,566.0,471.0,668.0,62.0,,,,,,,,,,,,,,,
1128,1456,,,,,,,,,,,,,,,,,,,,,,,,
1129,905,862.0,,,,,,,,,,,,,,,,,,,,,,,
1131,1883,1884.0,1646.0,,,,,,,,,,,,,,,,,,,,,,
64,682,795.0,,,,,,,,,,,,,,,,,,,,,,,
64,682,279.0,,,,,,,,,,,,,,,,,,,,,,,
64,704,643.0,682.0,203.0,498.0,,,,,,,,,,,,,,,,,,,,
64,866,612.0,488.0,682.0,115.0,600.0,,,,,,,,,,,,,,,,,,,
65,291,266.0,566.0,88.0,,,,,,,,,,,,,,,,,,,,,
67,390,998.0,105.0,987.0,830.0,,,,,,,,,,,,,,,,,,,,
1542,1134,2006.0,1655.0,1916.0,,,,,,,,,,,,,,,,,,,,,
1984,1986,867.0,677.0,678.0,1135.0,1720.0,2136.0,1630.0,,,,,,,,,,,,,,,,,
1136,201,108.0,1577.0,,,,,,,,,,,,,,,,,,,,,,
2049,1223,2121.0,1137.0,1203.0,1972.0,,,,,,,,,,,,,,,,,,,,
2285,2615,,,,,,,,,,,,,,,,,,,,,,,,
1632,1633,1138.0,2168.0,441.0,1851.0,,,,,,,,,,,,,,,,,,,,
1632,1138,2168.0,441.0,1851.0,,,,,,,,,,,,,,,,,,,,,
70,659,979.0,631.0,986.0,,,,,,,,,,,,,,,,,,,,,
930,71,938.0,940.0,506.0,,,,,,,,,,,,,,,,,,,,,
339,916,77.0,735.0,,,,,,,,,,,,,,,,,,,,,,
1145,1842,1716.0,,,,,,,,,,,,,,,,,,,,,,,
505,533,78.0,862.0,,,,,,,,,,,,,,,,,,,,,,
2891,2299,,,,,,,,,,,,,,,,,,,,,,,,
354,2299,,,,,,,,,,,,,,,,,,,,,,,,
1147,1743,,,,,,,,,,,,,,,,,,,,,,,,
1312,1354,79.0,1743.0,1938.0,,,,,,,,,,,,,,,,,,,,,
272,364,390.0,79.0,,,,,,,,,,,,,,,,,,,,,,
79,1175,,,,,,,,,,,,,,,,,,,,,,,,
539,86,79.0,,,,,,,,,,,,,,,,,,,,,,,
1148,1533,,,,,,,,,,,,,,,,,,,,,,,,
450,1148,1533.0,,,,,,,,,,,,,,,,,,,,,,,
1150,1509,1646.0,421.0,,,,,,,,,,,,,,,,,,,,,,
1506,1150,,,,,,,,,,,,,,,,,,,,,,,,
353,1150,1646.0,1687.0,,,,,,,,,,,,,,,,,,,,,,
1150,1687,,,,,,,,,,,,,,,,,,,,,,,,
1242,1150,,,,,,,,,,,,,,,,,,,,,,,,
1151,695,,,,,,,,,,,,,,,,,,,,,,,,
1151,695,,,,,,,,,,,,,,,,,,,,,,,,
2312,3147,3150.0,,,,,,,,,,,,,,,,,,,,,,,
84,495,,,,,,,,,,,,,,,,,,,,,,,,
390,522,1004.0,275.0,85.0,698.0,699.0,700.0,349.0,,,,,,,,,,,,,,,,,
1153,1516,1438.0,,,,,,,,,,,,,,,,,,,,,,,
1153,1516,1438.0,,,,,,,,,,,,,,,,,,,,,,,
1153,1585,,,,,,,,,,,,,,,,,,,,,,,,
1634,86,263.0,,,,,,,,,,,,,,,,,,,,,,,
471,780,272.0,373.0,86.0,887.0,,,,,,,,,,,,,,,,,,,,
780,86,471.0,,,,,,,,,,,,,,,,,,,,,,,
86,263,,,,,,,,,,,,,,,,,,,,,,,,
297,262,86.0,471.0,,,,,,,,,,,,,,,,,,,,,,
460,780,86.0,,,,,,,,,,,,,,,,,,,,,,,
1158,1994,1708.0,2004.0,2006.0,,,,,,,,,,,,,,,,,,,,,
628,2004,1158.0,,,,,,,,,,,,,,,,,,,,,,,
1158,2004,2006.0,,,,,,,,,,,,,,,,,,,,,,,
291,483,390.0,460.0,88.0,,,,,,,,,,,,,,,,,,,,,
1678,1998,1999.0,887.0,88.0,1850.0,,,,,,,,,,,,,,,,,,,,
88,1850,887.0,,,,,,,,,,,,,,,,,,,,,,,
1678,887,1976.0,1850.0,88.0,,,,,,,,,,,,,,,,,,,,,
88,1678,,,,,,,,,,,,,,,,,,,,,,,,
1880,1852,1159.0,,,,,,,,,,,,,,,,,,,,,,,
1451,1573,1159.0,,,,,,,,,,,,,,,,,,,,,,,
1160,2083,,,,,,,,,,,,,,,,,,,,,,,,
89,788,,,,,,,,,,,,,,,,,,,,,,,,
89,546,986.0,,,,,,,,,,,,,,,,,,,,,,,
2877,2878,2319.0,,,,,,,,,,,,,,,,,,,,,,,
2320,218,876.0,,,,,,,,,,,,,,,,,,,,,,,
2919,876,2509.0,2320.0,218.0,,,,,,,,,,,,,,,,,,,,,
2322,2613,,,,,,,,,,,,,,,,,,,,,,,,
2595,2325,,,,,,,,,,,,,,,,,,,,,,,,
1168,1707,,,,,,,,,,,,,,,,,,,,,,,,
1168,1751,,,,,,,,,,,,,,,,,,,,,,,,
2328,1667,,,,,,,,,,,,,,,,,,,,,,,,
1812,2955,2948.0,2332.0,,,,,,,,,,,,,,,,,,,,,,
1905,1175,,,,,,,,,,,,,,,,,,,,,,,,
1385,2174,1175.0,,,,,,,,,,,,,,,,,,,,,,,
2174,1175,,,,,,,,,,,,,,,,,,,,,,,,
1176,2969,,,,,,,,,,,,,,,,,,,,,,,,
2832,2335,,,,,,,,,,,,,,,,,,,,,,,,
97,916,,,,,,,,,,,,,,,,,,,,,,,,
1944,1178,1870.0,,,,,,,,,,,,,,,,,,,,,,,
99,264,396.0,814.0,847.0,816.0,764.0,,,,,,,,,,,,,,,,,,,
1838,1835,1755.0,1183.0,,,,,,,,,,,,,,,,,,,,,,
1834,1755,1838.0,1183.0,,,,,,,,,,,,,,,,,,,,,,
378,2339,,,,,,,,,,,,,,,,,,,,,,,,
2339,947,,,,,,,,,,,,,,,,,,,,,,,,
179,780,102.0,,,,,,,,,,,,,,,,,,,,,,,
876,725,2340.0,,,,,,,,,,,,,,,,,,,,,,,
992,218,876.0,2340.0,,,,,,,,,,,,,,,,,,,,,,
104,589,,,,,,,,,,,,,,,,,,,,,,,,
104,589,,,,,,,,,,,,,,,,,,,,,,,,
104,691,589.0,,,,,,,,,,,,,,,,,,,,,,,
104,589,,,,,,,,,,,,,,,,,,,,,,,,
1944,1185,1870.0,,,,,,,,,,,,,,,,,,,,,,,
1186,2050,1461.0,,,,,,,,,,,,,,,,,,,,,,,
2344,2552,2624.0,3228.0,,,,,,,,,,,,,,,,,,,,,,
2344,3228,3293.0,,,,,,,,,,,,,,,,,,,,,,,
2345,3269,,,,,,,,,,,,,,,,,,,,,,,,
201,514,108.0,838.0,,,,,,,,,,,,,,,,,,,,,,
201,108,1494.0,,,,,,,,,,,,,,,,,,,,,,,
2347,1005,,,,,,,,,,,,,,,,,,,,,,,,
1193,1966,,,,,,,,,,,,,,,,,,,,,,,,
2050,1193,1966.0,2006.0,1980.0,2110.0,2111.0,,,,,,,,,,,,,,,,,,,
281,389,110.0,,,,,,,,,,,,,,,,,,,,,,,
2348,2598,,,,,,,,,,,,,,,,,,,,,,,,
